"fever2wk","male","urban","pinf.rdt0","pinf.rdt1","pinf","reg","age"
1,1,0,0.156978929,0.710317916,0.573732042,"Centre",2
1,1,0,0.129653319,0.71540433,0.557037912,"Centre",3
1,1,0,0.255020369,0.723198794,0.609726542,"Centre",4
0,0,1,0.034246375,0.433916367,0.141888175,"Centre",0
0,0,1,0.055227471,0.436623475,0.164558802,"Centre",1
0,0,1,0.046829046,0.426875433,0.192473929,"Centre",2
0,0,1,0.039826065,0.441835564,0.182152727,"Centre",3
0,0,1,0.076298823,0.430216174,0.218964707,"Centre",4
1,0,1,0.017151937,0.365367108,0.116888718,"Centre",0
1,0,1,0.029859141,0.376113694,0.136461683,"Centre",1
1,0,1,0.023450556,0.364045783,0.161008389,"Centre",2
1,0,1,0.019461276,0.374010906,0.15110639,"Centre",3
1,0,1,0.041437476,0.374102301,0.185168463,"Centre",4
0,1,1,0.034259983,0.410897067,0.128110555,"Centre",0
0,1,1,0.054484561,0.410514869,0.148827267,"Centre",1
0,1,1,0.047617865,0.402512752,0.175205536,"Centre",2
0,1,1,0.040374001,0.419516077,0.165361336,"Centre",3
0,1,1,0.075960566,0.404293708,0.200448553,"Centre",4
1,1,1,0.017278582,0.343854168,0.104760383,"Centre",0
1,1,1,0.02978024,0.353445402,0.122831339,"Centre",1
1,1,1,0.024049927,0.342676586,0.145616053,"Centre",2
1,1,1,0.019949188,0.353752598,0.13653261,"Centre",3
1,1,1,0.041470898,0.351292248,0.168393374,"Centre",4
0,0,0,0.212112651,0.80382298,0.654546114,"Centre-Est",0
0,0,0,0.284078154,0.804946563,0.679600899,"Centre-Est",1
0,0,0,0.307403852,0.830889487,0.740609289,"Centre-Est",2
0,0,0,0.281332578,0.821173397,0.731863143,"Centre-Est",3
0,0,0,0.386217583,0.854530797,0.766045803,"Centre-Est",4
1,0,0,0.239675388,0.779482836,0.644007088,"Centre-Est",0
1,0,0,0.316975965,0.781804662,0.669463985,"Centre-Est",1
1,0,0,0.347178928,0.812140775,0.731755472,"Centre-Est",2
1,0,0,0.320322154,0.802087715,0.722665771,"Centre-Est",3
1,0,0,0.425663919,0.83692714,0.757362833,"Centre-Est",4
0,1,0,0.211510864,0.788897868,0.636878754,"Centre-Est",0
0,1,0,0.282529267,0.790200388,0.661670245,"Centre-Est",1
0,1,0,0.307322362,0.818100681,0.725032304,"Centre-Est",2
